Query,Response,Intent
Hi,"Hello! I’m Fast Food Chatbot, how can I assist you?",greet
Hey there,"Hey! I’m Fast Food Chatbot, how can I assist you?",greet
Hello,"Hi there! I’m Fast Food Chatbot, how can I assist you?",greet
Good morning,"Good morning! I’m Fast Food Chatbot, how can I assist you?",greet
Good afternoon,"Good afternoon! I’m Fast Food Chatbot, how can I assist you?",greet
Good evening,"Good evening! I’m Fast Food Chatbot, how can I assist you?",greet
Yo,"Yo! I’m Fast Food Chatbot, how can I assist you?",greet
Hi there,"Hello! I’m Fast Food Chatbot, how can I assist you?",greet
Hey,"Hey there! I’m Fast Food Chatbot, how can I assist you?",greet
Hola,"Hola! I’m Fast Food Chatbot, how can I assist you?",greet
"Hi, how’s it going?","It’s going great! I’m Fast Food Chatbot, how can I assist you?",greet
"Hey, what’s up?","Not much, just here to help! I’m Fast Food Chatbot, how can I assist you?",greet
Hello there,"Hi! I’m Fast Food Chatbot, how can I assist you?",greet
Good day,"Good day to you! I’m Fast Food Chatbot, how can I assist you?",greet
"Hi, how are you?","I’m doing awesome, thanks! I’m Fast Food Chatbot, how can I assist you?",greet
"Hey, how’s it hanging?","Hanging tasty! I’m Fast Food Chatbot, how can I assist you?",greet
Morning!,"Morning! I’m Fast Food Chatbot, how can I assist you?",greet
Evening!,"Evening! I’m Fast Food Chatbot, how can I assist you?",greet
What’s good?,"All our food’s good! I’m Fast Food Chatbot, how can I assist you?",greet
Sup?,"Sup? I’m Fast Food Chatbot, how can I assist you?",greet
"Hi, can you help me?","Sure can! I’m Fast Food Chatbot, how can I assist you?",greet
"Hey, you there?","Right here for you! I’m Fast Food Chatbot, how can I assist you?",greet
"Hello, anyone home?","Yup, I’m home! I’m Fast Food Chatbot, how can I assist you?",greet
"Hi, what’s cooking?","Burgers and fries! I’m Fast Food Chatbot, how can I assist you?",greet
"Hey, ready to help?","Always ready! I’m Fast Food Chatbot, how can I assist you?",greet
Good to see you,"Great to see you too! I’m Fast Food Chatbot, how can I assist you?",greet
"Hi, I’m hungry","Let’s fix that! I’m Fast Food Chatbot, how can I assist you?",greet
"Hey, got food?","Plenty of food! I’m Fast Food Chatbot, how can I assist you?",greet
"Hello, I’m back","Welcome back! I’m Fast Food Chatbot, how can I assist you?",greet
"Hi, let’s eat","Let’s get started! I’m Fast Food Chatbot, how can I assist you?",greet
Show me the menu,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
What's on the menu?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Can you display the menu?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Let me see the menu,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
What food do you have?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Show the food options,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
What's available to eat?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Give me the menu list,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian

 - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Tell me about the menu,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
What’s the food menu?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
List the menu items,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Can I see what’s on the menu?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Show me what you serve,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
What dishes do you offer?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Display the food menu,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
What can I order?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Show me the full menu,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
What’s on offer today?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Can you share the menu?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
List your food items,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
What’s the menu like?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Show me your dishes,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
What food options are there?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Tell me the menu options,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
What do you have to eat?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
"Show the menu, please","Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
What’s available on the menu?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Can you tell me the menu?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
What’s the food selection?,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
Give me your menu details,"Our menu: Vegetarian - Rice ($50), Noodles ($50), Manchurian ($50); Non-Vegetarian - Chicken Rice ($80), Chicken Noodles ($80), Chicken Manchurian ($80).",menu
I need 2 veg noodles,Your order of 2 veg noodles is placed with bill {bill_function} and your ID is {id}.,add item
Add 1 chicken rice,Your order of 1 chicken rice is placed with bill {bill_function} and your ID is {id}.,add item
Can I get 1 veg rice and 1 chicken noodles?,Your order of 1 veg rice and 1 chicken noodles is placed with bill {bill_function} and your ID is {id}.,add item
I want 2 veggie Manchurian,Your order of 2 veg Manchurian is placed with bill {bill_function} and your ID is {id}.,add item
Order 1 chicken Manchurian and 1 veg noodles,Your order of 1 chicken Manchurian and 1 veg noodles is placed with bill {bill_function} and your ID is {id}.,add item
Give me 3 veg rice,Your order of 3 veg rice is placed with bill {bill_function} and your ID is {id}.,add item
I’d like 1 chicken rice and 2 veg noodles,Your order of 1 chicken rice and 2 veg noodles is placed with bill {bill_function} and your ID is {id}.,add item
Can I have 2 veggie noodles and 1 chicken Manchurian?,Your order of 2 veg noodles and 1 chicken Manchurian is placed with bill {bill_function} and your ID is {id}.,add item
Add 1 veg Manchurian and 1 chicken rice,Your order of 1 veg Manchurian and 1 chicken rice is placed with bill {bill_function} and your ID is {id}.,add item
I need 2 vegetarian rice and 2 chicken noodles,Your order of 2 veg rice and 2 chicken noodles is placed with bill {bill_function} and your ID is {id}.,add item
Add two veg noodles and one chicken rice,Your order of 2 veg noodles and 1 chicken rice is placed with bill {bill_function} and your ID is {id}.,add item
I want 1 veggie rice,Your order of 1 veg rice is placed with bill {bill_function} and your ID is {id}.,add item
